Iteration,no_filter_mae,no_filter_mape,overall_mae,overall_mape,rare_mae,rare_mape,inter_mae,inter_mape,union_mae,union_mape
0,76.65428924560547,0.7151023149490356,76.05165100097656,0.7093126773834229,76.12454223632812,0.7099913954734802,76.65428924560547,0.7151023149490356,75.50859069824219,0.7042765021324158
1,27.07489585876465,0.25541964173316956,23.292200088500977,0.22044877707958221,23.51917266845703,0.22488164901733398,25.010560989379883,0.2361992597579956,22.565500259399414,0.21584531664848328
2,20.517921447753906,0.19891995191574097,17.34937286376953,0.1697426736354828,19.055904388427734,0.18679684400558472,19.27593421936035,0.18768563866615295,17.40704345703125,0.1709843873977661
3,18.712953567504883,0.1838230937719345,17.745447158813477,0.17513620853424072,16.413040161132812,0.1635037660598755,19.26140785217285,0.18962949514389038,16.665830612182617,0.16571883857250214
4,18.944568634033203,0.18708793818950653,17.814271926879883,0.17683017253875732,18.59893035888672,0.18426388502120972,19.47613525390625,0.19323526322841644,17.718761444091797,0.17546162009239197
5,19.007251739501953,0.18831861019134521,18.578689575195312,0.184468612074852,18.21938133239746,0.18121224641799927,20.47673797607422,0.20290012657642365,16.486557006835938,0.16487771272659302
6,20.397308349609375,0.20175495743751526,16.742639541625977,0.1674109250307083,19.071840286254883,0.18935979902744293,19.498537063598633,0.1934792697429657,17.414308547973633,0.17286895215511322
7,20.47092056274414,0.2025183141231537,19.734130859375,0.19558823108673096,18.242210388183594,0.18198026716709137,19.549758911132812,0.19413873553276062,17.830175399780273,0.17728398740291595
8,19.65093421936035,0.19450977444648743,19.042724609375,0.18930916488170624,18.63147735595703,0.1858142614364624,19.743364334106445,0.19591011106967926,18.00870704650879,0.17875418066978455
9,18.58759117126465,0.1843002736568451,20.5375919342041,0.20253056287765503,17.808055877685547,0.1779596209526062,20.453462600708008,0.20201709866523743,17.521347045898438,0.17425109446048737
10,19.546926498413086,0.19290174543857574,18.995641708374023,0.18838900327682495,20.081222534179688,0.19881941378116608,19.49468994140625,0.19297796487808228,19.0898380279541,0.18921436369419098
11,19.7543888092041,0.19443751871585846,22.658395767211914,0.22172711789608002,19.48455238342285,0.19287876784801483,20.14458465576172,0.19868338108062744,17.52495574951172,0.17400531470775604
12,20.320859909057617,0.19947455823421478,20.654451370239258,0.20317745208740234,20.363168716430664,0.2005591243505478,20.201539993286133,0.19886091351509094,19.673959732055664,0.19369672238826752
13,20.362224578857422,0.19952550530433655,21.033342361450195,0.2059822529554367,19.60112953186035,0.19311687350273132,20.100547790527344,0.19758638739585876,19.064929962158203,0.1878296285867691
14,20.548124313354492,0.20088940858840942,19.643020629882812,0.1931108683347702,19.410812377929688,0.1910073608160019,19.952770233154297,0.19582825899124146,17.61980628967285,0.1742158681154251
